,RESULT,NAME_LONG
0,41000,경기도
1,41110,경기도 수원시
2,41111,경기도 수원시 장안구
3,41113,경기도 수원시 권선구
4,41115,경기도 수원시 팔달구
5,41117,경기도 수원시 영통구
6,41130,경기도 성남시
7,41131,경기도 성남시 수정구
8,41133,경기도 성남시 중원구
9,41135,경기도 성남시 분당구
10,41150,경기도 의정부시
11,41170,경기도 안양시
12,41171,경기도 안양시 만안구
13,41173,경기도 안양시 동안구
14,41190,경기도 부천시
15,41210,경기도 광명시
16,41220,경기도 평택시
17,41250,경기도 동두천시
18,41270,경기도 안산시
19,41271,경기도 안산시 상록구
20,41273,경기도 안산시 단원구
21,41280,경기도 고양시
22,41281,경기도 고양시 덕양구
23,41285,경기도 고양시 일산동구
24,41287,경기도 고양시 일산서구
25,41290,경기도 과천시
26,41310,경기도 구리시
27,41360,경기도 남양주시
28,41370,경기도 오산시
29,41390,경기도 시흥시
30,41410,경기도 군포시
31,41430,경기도 의왕시
32,41450,경기도 하남시
33,41460,경기도 용인시
34,41461,경기도 용인시 처인구
35,41463,경기도 용인시 기흥구
36,41465,경기도 용인시 수지구
37,41480,경기도 파주시
38,41500,경기도 이천시
39,41550,경기도 안성시
40,41570,경기도 김포시
41,41590,경기도 화성시
42,41610,경기도 광주시
43,41630,경기도 양주시
44,41650,경기도 포천시
45,41670,경기도 여주시
46,41800,경기도 연천군
47,41820,경기도 가평군
48,41830,경기도 양평군
